participant:assignmentId,condition,state,trial,blockTrial,trialStartTime,monster,family,category,preferredFood,choice,correct,rt
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,60,25,217670,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1091
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,61,26,219562,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1388
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,62,27,222511,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1020
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,63,28,224323,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,9902
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,64,29,235225,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1499
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,65,30,237723,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,915
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,66,31,239635,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,984
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,67,32,241767,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,948
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,68,33,244386,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,1514
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,69,34,247473,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1014
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,70,35,249337,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,778
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,71,36,250985,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,7821
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,72,37,259597,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,2426
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,73,38,262842,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1683
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,74,39,265316,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,943
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,75,40,268245,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,883
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,76,41,270102,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,941
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,77,42,272046,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,699
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,78,43,273568,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1595
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,79,44,277640,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,8561
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,80,45,288469,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,805
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,81,46,290251,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,830
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,82,47,291889,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1198
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,83,48,293947,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1176
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,84,49,295909,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1212
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,85,50,297927,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1359
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,86,51,300342,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,2316
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,87,52,303465,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,1355
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,88,53,305628,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,7413
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,89,54,313955,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1563
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,90,55,316325,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1238
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,91,56,318369,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,883
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,92,57,320183,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,970
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,93,58,323146,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,8391
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,94,59,332950,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1821
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,95,60,335606,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,7117
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,96,61,343872,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,4866
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,97,62,349697,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1708
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,98,63,352196,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,784
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,99,64,353897,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1156
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,100,65,355891,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,840
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,101,66,357704,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,903
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,102,67,359803,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,9271
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,103,68,370172,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1716
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,104,69,372734,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,2191
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,105,70,375866,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,2568
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,106,71,379449,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1707
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,107,72,382086,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1888
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,108,73,384915,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,2690
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,109,74,388597,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1989
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,110,75,391559,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,935
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,111,76,393291,GreenMonster_2_1,GreenMonster,category1D,bananas,oranges,False,8203
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,112,77,402799,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1661
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,113,78,405338,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1308
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,114,79,407434,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,1951
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,115,80,410368,GreenMonster_4_1,GreenMonster,category1D,oranges,oranges,True,1224
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,116,81,412550,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,852
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,117,82,414247,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1199
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,118,83,417421,GreenMonster_3_1,GreenMonster,category1D,oranges,oranges,True,1184
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,119,84,419456,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,8476
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,120,85,429113,GreenMonster_2_1,GreenMonster,category1D,bananas,bananas,True,2029
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,121,86,432062,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1192
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,122,87,434209,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1266
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,123,88,439681,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1057
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,124,89,441958,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1056
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,125,90,444049,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,8881
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,126,91,453935,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,2142
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,127,92,457002,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,1205
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,128,93,459283,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,9653
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,129,94,469884,GreenMonster_5_1,GreenMonster,category1D,oranges,oranges,True,984
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,130,95,472467,GreenMonster_6_1,GreenMonster,category1D,oranges,oranges,True,1752
A126BDE73YE05F:3WT783CTPCWKJX1QYELIIJS86P9BCC,0,free,131,96,475012,GreenMonster_1_1,GreenMonster,category1D,bananas,bananas,True,1616
