# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.820000000000000000e+02,7.279999999999999805e-01,1.640000000000000000e+02,9.000000000000000222e-01
1.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.500000000000000000e+01,1.799999999999999933e-01,2.500000000000000000e+01,5.600000000000000533e-01
1.400000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01,8.000000000000000167e-02,1.100000000000000000e+01,5.500000000000000444e-01
1.400000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.200000000000000025e-02,1.000000000000000000e+00,3.300000000000000155e-01
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,2.090000000000000000e+02,8.399999999999999689e-01
1.500000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.860000000000000000e+02,7.439999999999999947e-01,1.690000000000000000e+02,9.100000000000000311e-01
1.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,3.599999999999999728e-02,3.000000000000000000e+00,3.300000000000000155e-01
1.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.200000000000000000e+01,4.800000000000000100e-02,3.000000000000000000e+00,2.500000000000000000e-01
1.600000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,4.300000000000000000e+01,1.719999999999999862e-01,2.400000000000000000e+01,5.600000000000000533e-01
